Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Endless Sands,C20,Commander 2020,272,normal,rare,4,50146,f436df63-41b9-416d-8e41-035261d4d0cc,0.29,false,false,near_mint,en,EUR,2026-06-07T21:07:21.380Z
Spire of Industry,EOC,Edge of Eternities Commander,183,normal,rare,1,107258,35e9ec06-a848-4230-84a2-19cb8034e0f0,0.24,false,false,near_mint,fr,EUR,2026-06-07T21:07:34.816Z
Spire of Industry,EOC,Edge of Eternities Commander,183,normal,rare,3,107258,35e9ec06-a848-4230-84a2-19cb8034e0f0,0.24,false,false,near_mint,en,EUR,2026-06-07T21:07:34.814Z
Inventors' Fair,KLD,Kaladesh,247,normal,rare,1,7396,275471e3-ded1-40ac-91ef-369dce5764d9,9.53,false,false,near_mint,en,EUR,2026-06-07T21:07:34.813Z
Geier Reach Sanitarium,LCC,The Lost Caverns of Ixalan Commander,335,normal,rare,2,88474,4b9c92f0-4242-4a3e-9ede-6a4935f5c75d,1.5,false,false,near_mint,en,EUR,2026-06-07T21:07:34.812Z
Inventors' Fair,KLD,Kaladesh,247,normal,rare,7,7396,275471e3-ded1-40ac-91ef-369dce5764d9,9.53,false,false,near_mint,it,EUR,2026-06-07T21:07:34.811Z
Geier Reach Sanitarium,LCC,The Lost Caverns of Ixalan Commander,335,normal,rare,2,88474,4b9c92f0-4242-4a3e-9ede-6a4935f5c75d,1.5,false,false,near_mint,it,EUR,2026-06-07T21:07:34.810Z
Drownyard Temple,TDC,Tarkir: Dragonstorm Commander,359,normal,rare,4,105001,dbc8512a-9f6c-40d4-8049-14505e260746,0.18,false,false,near_mint,it,EUR,2026-06-07T21:07:34.807Z
Corrupted Crossroads,M3C,Modern Horizons 3 Commander,332,normal,rare,4,94904,03b91bd1-de0f-4e3e-b467-174beba8ffeb,0.18,false,false,near_mint,it,EUR,2026-06-07T21:07:34.806Z
Ruins of Oran-Rief,M3C,Modern Horizons 3 Commander,370,normal,rare,4,95047,dd563d94-787d-4098-8b38-b462640c4216,0.18,false,false,near_mint,it,EUR,2026-06-07T21:07:34.804Z
Mirrorpool,CMM,Commander Masters,1010,normal,mythic,1,83995,0441cd2c-3646-4c69-ae97-ad3bcea7466f,2.18,false,false,near_mint,en,EUR,2026-06-07T21:07:34.803Z
Sea Gate Wreckage,CMM,Commander Masters,1028,normal,rare,1,84110,1c137634-7531-4573-9bfa-623d8edf839c,0.25,false,false,near_mint,en,EUR,2026-06-07T21:07:34.802Z
Mirrorpool,CMM,Commander Masters,1010,normal,mythic,3,83995,0441cd2c-3646-4c69-ae97-ad3bcea7466f,2.18,false,false,near_mint,it,EUR,2026-06-07T21:07:34.801Z
Ally Encampment,BFZ,Battle for Zendikar,228,normal,rare,4,10123,bcb7124c-ba69-4da8-ad81-58f00fd0181d,0.4,false,false,near_mint,it,EUR,2026-06-07T21:07:34.799Z
Sanctum of Ugin,BFZ,Battle for Zendikar,242,normal,rare,4,10109,86798d03-9f2d-46bd-a660-13c8dd5535ce,1.14,false,false,near_mint,it,EUR,2026-06-07T21:07:34.798Z
Corrupted Crossroads,M3C,Modern Horizons 3 Commander,332,foil,rare,1,94904,03b91bd1-de0f-4e3e-b467-174beba8ffeb,0.49,false,false,near_mint,it,EUR,2026-06-07T21:07:34.797Z
Shrine of the Forsaken Gods,M3C,Modern Horizons 3 Commander,376,foil,rare,2,95048,dde7ad4e-a38b-4981-8c9f-78a9e9ea2c36,1.37,false,false,near_mint,it,EUR,2026-06-07T21:07:34.796Z
Ghost Quarter,CM2,Commander Anthology Volume II,253,normal,uncommon,1,1484,12f8071c-8955-4aa2-889c-6043df047223,0.6,false,false,near_mint,it,EUR,2026-06-07T21:07:34.795Z
Shrine of the Forsaken Gods,M3C,Modern Horizons 3 Commander,376,normal,rare,1,95048,dde7ad4e-a38b-4981-8c9f-78a9e9ea2c36,0.2,false,false,near_mint,it,EUR,2026-06-07T21:07:34.794Z
